Sprint,Day,Remaining Effort (hrs),Ideal Trend (hrs)
01-04-2026,Day 0,16
01-04-2026,Day 1,8
01-04-2026,Day 1,0
06-04-2026,Day 0,21,
06-04-2026,Day 1,17,
06-04-2026,Day 2,9,
06-04-2026,Day 3,0,
06-04-2026,Day 4,0,
06-04-2026,Day 5,0,
13-04-2026,Day 0,34,
13-04-2026,Day 1,26,
13-04-2026,Day 2,21,
13-04-2026,Day 3,13,
13-04-2026,Day 4,4,
13-04-2026,Day 5,0,
20-04-2026,Day 0,29,
20-04-2026,Day 1,24,
20-04-2026,Day 2,16,
20-04-2026,Day 3,8,
20-04-2026,Day 4,0,
20-04-2026,Day 5,0,
04-05-2026,Day 0,40,
04-05-2026,Day 1,32,
04-05-2026,Day 2,24,
04-05-2026,Day 3,16,
04-05-2026,Day 4,8,
04-05-2026,Day 5,0,
11-05-2026,Day 0,34,
11-05-2026,Day 1,26,
11-05-2026,Day 2,18,
11-05-2026,Day 3,10,
11-05-2026,Day 4,2,
11-05-2026,Day 5,0,
18-05-2026,Day 0,40,
18-05-2026,Day 1,32,
18-05-2026,Day 2,28,
18-05-2026,Day 3,18,
18-05-2026,Day 4,8,
18-05-2026,Day 5,0,
25-05-2026,Day 0,40,
25-05-2026,Day 1,32,
25-05-2026,Day 2,24,
25-05-2026,Day 3,16,
25-05-2026,Day 4,8,
25-05-2026,Day 5,0,
01-06-2026,Day 0,34,34
01-06-2026,Day 1,29,27.2
01-06-2026,Day 2,21,20.4
01-06-2026,Day 3,12,13.6
01-06-2026,Day 4,5,6.8
01-06-2026,Day 5,0,0
08-06-2026,Day 0,29,29
08-06-2026,Day 1,21,23.2
08-06-2026,Day 2,15,17.4
08-06-2026,Day 3,11,11.6
08-06-2026,Day 4,5,5.8
08-06-2026,Day 5,0,0
15-06-2026,Day 0,21,
15-06-2026,Day 1,16,
15-06-2026,Day 2,8,
15-06-2026,Day 3,4,
15-06-2026,Day 4,4,
15-06-2026,Day 5,0,
22-06-2026,Day 0,39,
22-06-2026,Day 1,31,
22-06-2026,Day 2,23,
22-06-2026,Day 3,16,
22-06-2026,Day 4,8,
22-06-2026,Day 5,0,
29-06-2026,Day 0,39,
29-06-2026,Day 1,31,
29-06-2026,Day 2,23,
29-06-2026,Day 3,16,
29-06-2026,Day 4,8,
29-06-2026,Day 5,0,
06-07-2026,Day 0,40,
06-07-2026,Day 1,32,
06-07-2026,Day 2,24,
06-07-2026,Day 3,16,
06-07-2026,Day 4,8,
06-07-2026,Day 5,0,
13-07-2026,Day 0,29,
13-07-2026,Day 1,21,
13-07-2026,Day 2,13,
13-07-2026,Day 3,6,
13-07-2026,Day 4,7,
13-07-2026,Day 5,0,
